pre_01-04,pre_01-05,real_01-04,real_01-05,rmse
3.84,3.86,3.84,3.84,1.3563368055555582e-05
2.19,2.2,2.18,2.19,3.1467136922216324e-05
6.13,6.14,6.15,6.18,3.1522291271781096e-05
3.76,3.71,3.83,3.79,0.0005568176631058397
2.77,2.74,2.82,2.81,0.0006246502628635049
3.21,3.23,3.19,3.1,0.0009186001935673441
20.07,19.88,20.5,20.59,0.0010345065256864695
1.47,1.48,1.44,1.43,0.0010453046128308385
9.61,9.55,9.5,9.03,0.0017921356442202768
3.66,3.6,3.86,3.86,0.004953153104781326
4.27,4.39,4.06,4.04,0.006428082258844541
3.4,3.53,3.22,3.24,0.007130556929567331
1.46,1.5,1.38,1.37,0.007862743055391188
2.33,2.45,2.16,2.14,0.016686455700062337
2.83,3.05,2.53,2.53,0.03518255245356125
1.58,1.72,1.38,1.38,0.0513547574039068
1.8,2.01,1.49,1.49,0.1041844961938651
